pair,0,1,2,3,4,5,6,7,8,9,10,11,12
YGG/USDC,1742256000000,0.2597,0.2597,0.2597,0.2597,0,1742342399999,0,0,0,0,False,0
ALT/USDC,1742256000000,0.04435,0.04435,0.04435,0.04435,0,1742342399999,0,0,0,0,False,0
NAP/USDT,1742256000000,100,100,100,100,0,1742342399999,0,0,0,0,False,0
NEAR/USDC,1742256000000,2.639,2.656,2.52,2.548,99367.23747,1742342399999,38712.061,13382,38712.061,99367.23747,False,2.6482
PUFFER/USDC,1742256000000,0.221,0.2215,0.2159,0.218,8054.101125,1742342399999,36766.96,951,36766.96,8054.101125,False,0.21915
DAI/USDT,1742256000000,101.3,101.3,101.3,101.3,0,1742342399999,0,0,0,0,False,0
DAI/USDC,1742256000000,95.8,95.8,95.8,95.8,0,1742342399999,0,0,0,0,False,0
TRB/USDC,1742256000000,35.39,35.39,35.39,35.39,0,1742342399999,0,0,0,0,False,0
WOO/USDC,1742256000000,0.0825,0.0825,0.0825,0.0825,0,1742342399999,0,0,0,0,False,0
WLD/USDC,1742256000000,0.873,0.874,0.819,0.826,20630.89877,1742342399999,24549.893,3962,24549.893,20630.89877,False,0.84148
HOT/USDC,1742256000000,0.001647,0.001647,0.001647,0.001647,0,1742342399999,0,0,0,0,False,0
Illiterate/ETH,1742256000000,0.000005,0.000005,0.000005,0.000005,0,1742342399999,0,0,0,0,False,0
ALGO/USDC,1742256000000,0.2789,0.2789,0.2789,0.2789,0,1742342399999,0,0,0,0,False,0
FLOKI/USDC,1742256000000,0.00009356,0.00009356,0.00009356,0.00009356,0,1742342399999,0,0,0,0,False,0
INJ/USDC,1742256000000,9.22,9.22,9.22,9.22,0,1742342399999,0,0,0,0,False,0
RING/USDC,1742256000000,0.001982,0.001982,0.001982,0.001982,0,1742342399999,0,0,0,0,False,0
AXL/USDC,1742256000000,0.4064,0.4091,0.3911,0.4014,35052.393327,1742342399999,87715.68,7648,87715.68,35052.393327,False,0.40225
DUSK/USDC,1742256000000,0.1339,0.1339,0.1339,0.1339,0,1742342399999,0,0,0,0,False,0
CVX/USDC,1742256000000,2.741,2.741,2.741,2.741,0,1742342399999,0,0,0,0,False,0
PEOPLE/USDC,1742256000000,0.01677,0.01681,0.01596,0.01612,42874.39027,1742342399999,2638750,8139,2638750,42874.39027,False,0.01671
FET/USDC,1742256000000,0.397,0.397,0.397,0.397,0,1742342399999,0,0,0,0,False,0
NKN/USDC,1742256000000,0.0659,0.0659,0.0659,0.0659,0,1742342399999,0,0,0,0,False,0
LINA/USDC,1742256000000,0.002691,0.002691,0.002691,0.002691,0,1742342399999,0,0,0,0,False,0
RPL/USDC,1742256000000,5.238,5.26,4.993,5.047,22275.889556,1742342399999,4366.564,6704,4366.564,22275.889556,False,5.152
ACX/USDC,1742256000000,0.249,0.2556,0.2375,0.2514,58417.26949,1742342399999,239528.05,9306,239528.05,58417.26949,False,0.24735
SUPER/USDC,1742256000000,0.6586,0.6586,0.6586,0.6586,0,1742342399999,0,0,0,0,False,0
