pair,date,open,high,low,close,volume,close_time,quote_volume,trades
REZ/USDC,2025-03-09,0.01582,0.01582,0.01582,0.01582,0.0,2025-03-09 23:59:59.999,0.0,0
REZ/USDC,2025-03-10,0.01582,0.01582,0.01582,0.01582,0.0,2025-03-10 23:59:59.999,0.0,0
USDT/ETH,2025-03-09,2204.6,2213.0,1991.0,2021.0,2243614.08962,2025-03-09 23:59:59.999,1070.644815,89611
USDT/ETH,2025-03-10,2021.0,2153.3,1996.8,2106.3,1157476.81527,2025-03-10 23:59:59.999,560.461343,45858
USDT/USDC,2025-03-09,1.0,1.0,1.0,1.0,0.0,2025-03-09 23:59:59.999,0.0,0
USDT/USDC,2025-03-10,1.0,1.0,1.0,1.0,0.0,2025-03-10 23:59:59.999,0.0,0
NEIRO/USDC,2025-03-09,0.02019,0.02019,0.02019,0.02019,0.0,2025-03-09 23:59:59.999,0.0,0
NEIRO/USDC,2025-03-10,0.02019,0.02019,0.02019,0.02019,0.0,2025-03-10 23:59:59.999,0.0,0
SFP/USDC,2025-03-09,0.6404,0.6404,0.6404,0.6404,0.0,2025-03-09 23:59:59.999,0.0,0
SFP/USDC,2025-03-10,0.6404,0.6404,0.6404,0.6404,0.0,2025-03-10 23:59:59.999,0.0,0
PHA/USDC,2025-03-09,0.1256,0.1261,0.1093,0.1114,28556.811099,2025-03-09 23:59:59.999,247599.73,5507
PHA/USDC,2025-03-10,0.1114,0.1204,0.1102,0.1186,12027.442396,2025-03-10 23:59:59.999,104733.86,2305
CHR/USDC,2025-03-09,0.1314,0.1314,0.1314,0.1314,0.0,2025-03-09 23:59:59.999,0.0,0
CHR/USDC,2025-03-10,0.1314,0.1314,0.1314,0.1314,0.0,2025-03-10 23:59:59.999,0.0,0
UMA/USDC,2025-03-09,1.569,1.569,1.569,1.569,0.0,2025-03-09 23:59:59.999,0.0,0
UMA/USDC,2025-03-10,1.569,1.569,1.569,1.569,0.0,2025-03-10 23:59:59.999,0.0,0
SOL/USDC,2025-03-09,137.0,139.9,125.6,126.5,104553.58305,2025-03-09 23:59:59.999,793.69259,14684
SOL/USDC,2025-03-10,126.5,131.6,124.2,128.2,58151.1583,2025-03-10 23:59:59.999,455.29998,8298
SOL/USDT,2025-03-09,19861.2,19861.2,19861.2,19861.2,0.0,2025-03-09 23:59:59.999,0.0,0
SOL/USDT,2025-03-10,19861.2,19861.2,19861.2,19861.2,0.0,2025-03-10 23:59:59.999,0.0,0
KNC/USDC,2025-03-09,0.4194,0.4194,0.4194,0.4194,0.0,2025-03-09 23:59:59.999,0.0,0
KNC/USDC,2025-03-10,0.4194,0.4194,0.4194,0.4194,0.0,2025-03-10 23:59:59.999,0.0,0
TFC/ETH,2025-03-09,0.001123,0.001123,0.001123,0.001123,0.0,2025-03-09 23:59:59.999,0.0,0
TFC/ETH,2025-03-10,0.001123,0.001123,0.001123,0.001123,0.0,2025-03-10 23:59:59.999,0.0,0
COTI/USDC,2025-03-09,0.08498,0.08498,0.08498,0.08498,0.0,2025-03-09 23:59:59.999,0.0,0
COTI/USDC,2025-03-10,0.08498,0.08498,0.08498,0.08498,0.0,2025-03-10 23:59:59.999,0.0,0
ENA/USDC,2025-03-09,0.4422,0.4464,0.4067,0.4203,423778.444057,2025-03-09 23:59:59.999,994042.96,39694
ENA/USDC,2025-03-10,0.4203,0.4796,0.4163,0.4486,318379.605148,2025-03-10 23:59:59.999,708096.71,29950
AIB/ETH,2025-03-09,1e-05,1e-05,1e-05,1e-05,0.0,2025-03-09 23:59:59.999,0.0,0
AIB/ETH,2025-03-10,1e-05,1e-05,1e-05,1e-05,0.0,2025-03-10 23:59:59.999,0.0,0
ZRX/USDC,2025-03-09,0.2687,0.2698,0.2386,0.2414,53597.203695,2025-03-09 23:59:59.999,212584.27,8044
ZRX/USDC,2025-03-10,0.2414,0.2581,0.2378,0.2511,29106.075761,2025-03-10 23:59:59.999,117454.98,4385
WBTC/ETH,2025-03-09,0.02559,0.0256,0.02427,0.02504,0.21355792,2025-03-09 23:59:59.999,8.562411,3041
WBTC/ETH,2025-03-10,0.02504,0.02583,0.02495,0.02559,0.10304032,2025-03-10 23:59:59.999,4.079468,1445
WBTC/USDC,2025-03-09,86250.1,86545.5,80062.5,80749.7,238393.165323,2025-03-09 23:59:59.999,2.87260828,112020
WBTC/USDC,2025-03-10,80749.7,84083.2,80081.5,82357.6,188501.233295,2025-03-10 23:59:59.999,2.2973767,66402
SKL/USDC,2025-03-09,0.03448,0.03448,0.03448,0.03448,0.0,2025-03-09 23:59:59.999,0.0,0
SKL/USDC,2025-03-10,0.03448,0.03448,0.03448,0.03448,0.0,2025-03-10 23:59:59.999,0.0,0
PYTH/USDC,2025-03-09,0.1677,0.1688,0.1461,0.1467,42005.795483,2025-03-09 23:59:59.999,269475.1,8023
PYTH/USDC,2025-03-10,0.1467,0.1589,0.1433,0.1555,23969.88841,2025-03-10 23:59:59.999,158593.39,4569
AUCTION/USDC,2025-03-09,14.2,14.2,14.2,14.2,0.0,2025-03-09 23:59:59.999,0.0,0
AUCTION/USDC,2025-03-10,14.2,14.2,14.2,14.2,0.0,2025-03-10 23:59:59.999,0.0,0
ID/USDC,2025-03-09,0.3639,0.3639,0.3639,0.3639,0.0,2025-03-09 23:59:59.999,0.0,0
ID/USDC,2025-03-10,0.3639,0.3639,0.3639,0.3639,0.0,2025-03-10 23:59:59.999,0.0,0
APE/USDC,2025-03-09,0.552,0.552,0.552,0.552,0.0,2025-03-09 23:59:59.999,0.0,0
APE/USDC,2025-03-10,0.552,0.552,0.482,0.482,2675.736,2025-03-10 23:59:59.999,5233.39,7
AAVE/USDC,2025-03-09,195.8,198.3,176.4,178.6,73465.265659,2025-03-09 23:59:59.999,394.04868,14002
AAVE/USDC,2025-03-10,178.6,202.0,176.6,196.1,46260.330927,2025-03-10 23:59:59.999,243.21125,8827
IOTX/USDC,2025-03-09,0.05095,0.05095,0.05095,0.05095,0.0,2025-03-09 23:59:59.999,0.0,0
IOTX/USDC,2025-03-10,0.05095,0.05095,0.05095,0.05095,0.0,2025-03-10 23:59:59.999,0.0,0
BAND/USDC,2025-03-09,1.026,1.026,1.026,1.026,0.0,2025-03-09 23:59:59.999,0.0,0
BAND/USDC,2025-03-10,1.026,1.026,1.026,1.026,0.0,2025-03-10 23:59:59.999,0.0,0
LOOKS/USDC,2025-03-09,0.0167,0.0167,0.0167,0.0167,0.0,2025-03-09 23:59:59.999,0.0,0
LOOKS/USDC,2025-03-10,0.0167,0.0167,0.0167,0.0167,0.0,2025-03-10 23:59:59.999,0.0,0
GTC/USDC,2025-03-09,0.46,0.46,0.46,0.46,0.0,2025-03-09 23:59:59.999,0.0,0
GTC/USDC,2025-03-10,0.46,0.46,0.46,0.46,0.0,2025-03-10 23:59:59.999,0.0,0
Sailor/USDT,2025-03-09,3.2e-06,3.2e-06,3.2e-06,3.2e-06,0.0,2025-03-09 23:59:59.999,0.0,0
Sailor/USDT,2025-03-10,3.2e-06,3.2e-06,3.2e-06,3.2e-06,0.0,2025-03-10 23:59:59.999,0.0,0
STG/USDC,2025-03-09,0.2601,0.2601,0.2601,0.2601,0.0,2025-03-09 23:59:59.999,0.0,0
STG/USDC,2025-03-10,0.2601,0.2601,0.2601,0.2601,0.0,2025-03-10 23:59:59.999,0.0,0
WBNB/USDC,2025-03-09,649.7,649.7,649.7,649.7,0.0,2025-03-09 23:59:59.999,0.0,0
WBNB/USDC,2025-03-10,649.7,649.7,649.7,649.7,0.0,2025-03-10 23:59:59.999,0.0,0
EIGEN/USDT,2025-03-09,50.13,50.13,50.13,50.13,0.0,2025-03-09 23:59:59.999,0.0,0
EIGEN/USDT,2025-03-10,50.13,50.13,50.13,50.13,0.0,2025-03-10 23:59:59.999,0.0,0
